timestamp,value,trend,seasonal_amplitude,seasonal_component
0,0.045602358309909885,0.0,1.0,0.0
1,0.7069256641786716,0.01,1.0251320797667052,0.12848311838766144
2,-0.40807479325042206,0.02,1.0502601908866749,0.26118908836534604
3,-0.6119327909697289,0.03,1.075380365339869,0.3958739159566248
4,-1.096984696690864,0.04,1.1004886363595392,0.5301644438733946
5,1.0829425164073403,0.05,1.1255810390586267,0.661599935018699
6,1.8972659743589677,0.06,1.1506536110558654,0.7876765993746876
7,2.6029670932180897,0.07,1.1757023931014863,0.9058942634478819
8,2.3047545570616217,0.08,1.2007234297024298,1.0138043225023172
9,2.2927437381002282,0.09,1.2257127697469634,1.1090580726201058
10,1.2445837523480554,0.1,1.2506664671286085,1.1894544932745015
11,2.298732977160645,0.11,1.275580581369276,1.2529865423561284
12,1.3240948520277587,0.12,1.3004511782415142,1.2978850349010695
13,1.0737463780001595,0.13,1.3252743303897672,1.3226592042288676
14,1.0874973912599533,0.14,1.350046117950552,1.3261330895585868
15,0.8723514719350796,0.15,1.3747626291714492,1.3074769568325646
16,1.5634443506412579,0.16,1.399419961028814,1.2662330384998137
17,1.3255461304542764,0.17,1.4240142198441093,1.202334972126347
18,1.239895490445161,0.18,1.4485415218987623,1.1161204253335923
19,1.0659059290536517,0.19,1.4729979940474494,1.0083365138639455
20,1.6873567410839132,0.2,1.4973797743297097,0.8801377484320351
21,0.9432094797758594,0.21,1.521683012579794,0.7330763821284823
22,0.7020276130195153,0.22,1.5459038710346502,0.5690851710181429
23,0.7889496351283402,0.23,1.5700385249399522,0.39045270361179246
24,-0.2989549892450928,0.24,1.5940831631540697,0.1997915974085144
25,-0.3611437683094485,0.25,1.618033988749895,1.9815201452341832e-16
26,0.01637920647097657,0.26,1.6418872196144192,-0.20578303438218015
27,0.4199237665012225,0.27,1.6656390890459734,-0.4142275971122143
28,0.021049639635462747,0.28,1.6892858463490341,-0.6218675965437958
29,-0.6901174836760678,0.29,1.7128237574265015,-0.8251591382289224
