timestamp,value,noise_type,skewness_param
0,1.5663190005785057,skew_normal,5
1,1.2085266371083403,skew_normal,5
2,1.6191662302786316,skew_normal,5
3,1.4784192055547323,skew_normal,5
4,2.1505566668024523,skew_normal,5
5,2.152316614626101,skew_normal,5
6,1.9508522219733644,skew_normal,5
7,1.888635700209878,skew_normal,5
8,1.8901507714690564,skew_normal,5
9,1.2928595461350247,skew_normal,5
10,2.553913589569128,skew_normal,5
11,1.7694276580211796,skew_normal,5
12,1.5676055242464204,skew_normal,5
13,1.9434579850335907,skew_normal,5
14,2.307761233213787,skew_normal,5
15,2.133237803475695,skew_normal,5
16,3.00727294350715,skew_normal,5
17,4.259276453547011,skew_normal,5
18,3.8756112176861706,skew_normal,5
19,4.380187727552576,skew_normal,5
20,3.855239942552688,skew_normal,5
21,3.10805494774677,skew_normal,5
22,4.204419613747469,skew_normal,5
23,3.7595652690039136,skew_normal,5
24,2.7929920965526227,skew_normal,5
25,3.876521936569715,skew_normal,5
26,2.862564130674692,skew_normal,5
27,2.194294717141453,skew_normal,5
28,2.8447271627856,skew_normal,5
29,1.8502605892033002,skew_normal,5
30,2.0307085681614336,skew_normal,5
31,1.1858655722813138,skew_normal,5
32,1.3805984939662101,skew_normal,5
33,2.342757358221723,skew_normal,5
34,2.1657078557261786,skew_normal,5
35,2.9291221447691838,skew_normal,5
36,2.438985971080747,skew_normal,5
37,3.139694902977649,skew_normal,5
38,2.667464505571937,skew_normal,5
39,2.405032500469065,skew_normal,5
40,2.5009114291175703,skew_normal,5
41,1.9769498259598692,skew_normal,5
42,1.6919449661604513,skew_normal,5
43,1.223912412207905,skew_normal,5
44,2.4878986278639523,skew_normal,5
45,2.4123157621932507,skew_normal,5
46,1.7154643107877758,skew_normal,5
47,1.872344978948456,skew_normal,5
48,3.6971344629718974,skew_normal,5
49,3.016019897162736,skew_normal,5
50,2.8854960419902405,skew_normal,5
51,2.1207699281865633,skew_normal,5
52,1.8497471452916858,skew_normal,5
53,2.7245978334171674,skew_normal,5
54,3.5017453201183932,skew_normal,5
55,2.674815883174587,skew_normal,5
56,3.0187923015236358,skew_normal,5
57,3.2868545745730966,skew_normal,5
58,2.2384636886724607,skew_normal,5
59,1.859716014057462,skew_normal,5
60,1.850505727733752,skew_normal,5
61,1.9457118149651211,skew_normal,5
62,1.2831139911648966,skew_normal,5
63,1.4483477374634575,skew_normal,5
64,2.0149454579373556,skew_normal,5
