timestamp,value,regime,true_variance
0,0.05480492078909139,0,0.25
1,0.8296040030831456,0,0.25
2,0.12610659973008098,0,0.25
3,-0.20754370915408754,0,0.25
4,-0.051478983489343516,0,0.25
5,-0.20097026733222007,0,0.25
6,-0.737061493343457,0,0.25
7,-0.6183813006342136,0,0.25
8,-0.6122813839445711,0,0.25
9,-0.12686116745645204,0,0.25
10,-0.9211970819553637,0,0.25
11,-0.9949274762137301,0,0.25
12,-0.12075372860602596,0,0.25
13,0.8441378935914378,0,0.25
14,-0.16469325333017648,0,0.25
15,0.20713847811526565,0,0.25
16,-0.345307007928625,0,0.25
17,-0.6701414829080825,0,0.25
18,-0.9050386296634845,0,0.25
19,-0.8447810053456363,0,0.25
20,-0.09312679028526433,0,0.25
21,0.2910218822385989,0,0.25
22,0.23328743917653913,0,0.25
23,-0.018354231817381328,0,0.25
24,-0.011203540805111892,0,0.25
25,-0.06080769959228994,0,0.25
26,0.35396127001638195,0,0.25
27,-0.06801292588464039,0,0.25
28,-0.050706502362127946,0,0.25
29,-0.08602835755811189,0,0.25
30,-0.0863739257166077,0,0.25
31,0.06414708128082841,0,0.25
32,0.14373300241782916,0,0.25
33,0.7680373888132713,0,0.25
34,0.49418836903047214,0,0.25
35,1.1266980050457758,0,0.25
36,0.6357620929487275,0,0.25
37,0.20616775642500296,0,0.25
38,0.19468652387392812,0,0.25
39,0.3139998028864257,0,0.25
40,0.35460606524384847,0,0.25
41,0.8942059373646755,0,0.25
42,1.1956156455679148,0,0.25
43,1.0841511509580843,0,0.25
44,0.5907376761023826,0,0.25
45,0.36320920011811364,0,0.25
46,0.9609454490435714,0,0.25
47,0.7832888757559997,0,0.25
48,-0.10708435366067304,0,0.25
49,-0.4197416635865616,0,0.25
50,-0.5825757811262972,0,0.25
51,0.1682993383994294,0,0.25
52,0.06422754446752667,0,0.25
53,1.175012667987404,0,0.25
54,1.1508186027213965,0,0.25
55,0.8679764345700748,0,0.25
56,0.3897315446848073,0,0.25
57,0.7589017361189513,0,0.25
58,0.41087564415123123,0,0.25
59,-0.12444877580269847,0,0.25
60,0.1969522158035551,0,0.25
61,0.14424570941557063,0,0.25
62,0.6955023595031714,0,0.25
63,0.4500549922777992,0,0.25
64,-1.1148054887168186,0,0.25
65,-0.38568064001178326,0,0.25
66,-1.2088468899818796,0,0.25
67,-0.07681475028279727,0,0.25
68,0.8569120440940762,0,0.25
69,0.38632273791344407,0,0.25
70,-0.3119250385182867,0,0.25
71,-0.9168845392969314,0,0.25
72,-0.20549186688193655,0,0.25
73,-0.24490339562759011,0,0.25
74,-0.47061234365038046,0,0.25
75,-0.45113849117839316,0,0.25
76,0.7284603999739824,0,0.25
77,0.683381943525661,0,0.25
78,0.8512308354841902,0,0.25
79,0.9843153804004388,0,0.25
80,1.1982313328742809,0,0.25
81,1.3694376523556864,0,0.25
82,0.6033731331509924,0,0.25
83,0.31476729199387443,0,0.25
84,-0.16004304990213197,0,0.25
85,-0.46761174908402753,0,0.25
86,0.24342564435851566,0,0.25
87,-0.08047982254628905,0,0.25
88,-0.09591155637397375,0,0.25
89,-0.41355126046469287,0,0.25
90,-0.5861872678468427,0,0.25
91,-0.016212115722950338,0,0.25
92,-0.23406347675536784,0,0.25
93,-0.404904527082367,0,0.25
94,-0.03665433848194194,0,0.25
95,0.22458562681115785,0,0.25
96,0.5534212474211275,0,0.25
97,0.47277709942757284,0,0.25
98,-0.5459264606392222,0,0.25
99,-0.06700028415270487,0,0.25
100,0.20226440844323568,0,0.25
101,0.6506538906925695,0,0.25
102,0.03222341504565829,0,0.25
103,1.2829602076094566,0,0.25
104,0.28187908792498284,0,0.25
105,0.5607919918923878,0,0.25
106,0.4155320063758166,0,0.25
107,0.047306081707474246,0,0.25
108,0.4411804377735517,0,0.25
109,0.16811124583565235,0,0.25
110,-1.0501330383869951,0,0.25
111,-1.318732351725983,0,0.25
112,-0.6942836104150283,0,0.25
113,0.632984278577615,0,0.25
114,-0.2975406057336743,0,0.25
115,-0.21675108287741826,0,0.25
116,0.5736410137450949,0,0.25
117,0.7049838691924929,0,0.25
118,0.30567828639546,0,0.25
119,-0.4969874740724011,0,0.25
120,-1.238466880854191,0,0.25
121,-1.240879710254474,0,0.25
122,-1.0528205626706788,0,0.25
123,-1.8615334580912144,0,0.25
124,-2.1499109410849444,0,0.25
125,-1.353113426105341,0,0.25
126,-1.1516755672926269,0,0.25
127,-1.1835881923104647,0,0.25
128,-1.0322713172184166,0,0.25
129,-1.1289023026060439,0,0.25
130,-0.3264735078657448,0,0.25
131,0.5914455776033585,0,0.25
132,1.4508196686507306,0,0.25
133,1.3704726979524169,0,0.25
134,1.3329071846715406,0,0.25
135,1.6645827691067572,0,0.25
136,2.03443234549357,0,0.25
137,2.1567050840620694,0,0.25
138,2.1158352616156217,0,0.25
139,1.1637584333226283,0,0.25
140,0.014781651381719718,0,0.25
141,0.4489235620605753,0,0.25
142,0.2673302691093812,0,0.25
143,0.15929567103260986,0,0.25
144,-0.3332033973329914,0,0.25
145,-0.8837181039808654,0,0.25
146,0.0824806374013175,0,0.25
147,0.2902869430377698,0,0.25
148,-0.32931544956456443,0,0.25
149,-0.035310510672751594,0,0.25
150,0.12808272863323783,0,0.25
151,0.35058265520143195,0,0.25
152,1.362043265513452,0,0.25
153,0.9360792352440871,0,0.25
154,0.015443873538565245,0,0.25
155,0.02908203222062223,0,0.25
156,-0.3028208702074671,0,0.25
157,0.06230930928305989,0,0.25
158,0.14888774451228642,0,0.25
159,0.2774722963965936,0,0.25
160,-0.08929497665598102,0,0.25
161,0.14433292051237137,0,0.25
162,-0.15409498367948304,0,0.25
163,0.15076318878246897,0,0.25
164,-0.04496833204434536,0,0.25
165,-0.5906810480717276,0,0.25
166,-0.1642149218409274,0,0.25
167,-0.4679973802573197,0,0.25
168,0.3943423855079467,0,0.25
169,0.49751780028753056,0,0.25
170,0.5821150675156546,0,0.25
171,0.45815294233198284,0,0.25
172,0.2910310691934812,0,0.25
173,-0.9896271237542518,0,0.25
174,-0.08165370818893503,0,0.25
175,-0.4641135996055321,0,0.25
176,0.15325140896651207,0,0.25
177,-0.21197929143369248,0,0.25
178,-0.2199487128321569,0,0.25
179,-0.2660590152687712,0,0.25
180,-0.7054889307428198,0,0.25
181,-0.5796967757396212,0,0.25
182,-0.16761465484432858,0,0.25
183,-0.3244193911849815,0,0.25
