timestamp,value,noise_type,df
0,-0.4851401593396327,student_t,3
1,-6.41733208691414,student_t,3
2,-3.3118428475602375,student_t,3
3,-0.32088285694371455,student_t,3
4,-0.13576548652223214,student_t,3
5,0.36458113472467724,student_t,3
6,-0.5892685815857908,student_t,3
7,-1.6876269997105409,student_t,3
8,-2.6153197016026084,student_t,3
9,-0.6119162105691744,student_t,3
10,-3.051065232731208,student_t,3
11,-3.314013459483463,student_t,3
12,-2.3198006461215157,student_t,3
13,1.8204413077552302,student_t,3
14,3.2351601091889304,student_t,3
15,2.316309595000244,student_t,3
16,2.989897006586725,student_t,3
17,3.3570538520657753,student_t,3
18,3.2299792483521146,student_t,3
19,2.582058072264,student_t,3
20,-0.5755510792917522,student_t,3
21,1.8480748810811256,student_t,3
22,2.2777028210729924,student_t,3
23,-0.4741498752968931,student_t,3
24,-3.051434135957341,student_t,3
25,-2.7010075620699836,student_t,3
26,-1.1647585190260679,student_t,3
27,-2.3168938773688588,student_t,3
28,-1.3329892595134343,student_t,3
29,1.3748483238494227,student_t,3
30,2.233983383736408,student_t,3
31,2.1443769412022933,student_t,3
32,1.8775635767740466,student_t,3
33,0.6121971045477014,student_t,3
34,0.9345842897715324,student_t,3
35,0.6137630359217826,student_t,3
36,-0.6774419605147506,student_t,3
37,-1.873226654058505,student_t,3
38,-0.9466485463272133,student_t,3
39,-1.3482067823798851,student_t,3
40,-2.1135764657032916,student_t,3
41,-1.7937656601624101,student_t,3
42,-1.7513510452988608,student_t,3
43,-1.8973024934353901,student_t,3
44,-0.3371900692871155,student_t,3
45,1.5599464445838955,student_t,3
46,-2.099227228257603,student_t,3
47,-1.4500451884486374,student_t,3
48,-1.4980381948182528,student_t,3
49,0.8951724281017295,student_t,3
50,-2.030481220214355,student_t,3
51,-0.7805964026009696,student_t,3
52,-0.9918890263735303,student_t,3
53,-1.7287015556029104,student_t,3
54,-2.228597885289956,student_t,3
55,-1.51473831232011,student_t,3
56,-0.4435916123744177,student_t,3
57,-0.07679888949881264,student_t,3
58,-0.9189264631838268,student_t,3
59,-0.37793783891403715,student_t,3
60,-0.005247927806877328,student_t,3
61,-2.3532691437906497,student_t,3
62,-1.9055510139309553,student_t,3
63,0.8434806398040973,student_t,3
64,-0.01475473194712984,student_t,3
65,-0.10847721998636253,student_t,3
66,-0.37420637053229333,student_t,3
67,-0.734451158374236,student_t,3
68,-1.4101306990563296,student_t,3
69,-2.3673048804996,student_t,3
70,-1.854453990242416,student_t,3
71,-2.0244998003525128,student_t,3
72,-2.787986014831882,student_t,3
73,-2.3751758834183985,student_t,3
74,-3.1898476351567284,student_t,3
75,-2.284966498496524,student_t,3
76,-3.547918717756507,student_t,3
77,-1.7928773169258756,student_t,3
78,0.15307832060873627,student_t,3
79,0.5188115701230921,student_t,3
80,-0.12086685545185172,student_t,3
81,4.488204236529513,student_t,3
82,3.0414671807369276,student_t,3
83,2.083634340187352,student_t,3
84,1.2568696916634643,student_t,3
85,0.16476275074688584,student_t,3
86,-0.25787396246810734,student_t,3
87,1.8267730693628852,student_t,3
88,1.0707901130934336,student_t,3
89,0.7978089116490072,student_t,3
90,1.651735054749066,student_t,3
91,0.5532635654709069,student_t,3
92,-7.567097828875613,student_t,3
93,-7.371004945819969,student_t,3
94,-5.79401481911491,student_t,3
95,-4.651847210592765,student_t,3
96,-3.5853232597305977,student_t,3
97,0.19652480168242148,student_t,3
98,-0.05365993636915295,student_t,3
99,-1.260271087724217,student_t,3
100,0.7812402578426052,student_t,3
101,2.687464838537237,student_t,3
102,2.2935967975522624,student_t,3
103,3.0014749730805654,student_t,3
104,1.5051648603450465,student_t,3
105,2.111036152252133,student_t,3
106,1.4164744896541868,student_t,3
107,0.29170677253412913,student_t,3
108,-0.20954123923221607,student_t,3
109,3.2274057902411317,student_t,3
110,0.06913680206490325,student_t,3
111,-0.8443372188786433,student_t,3
112,1.4400926938385996,student_t,3
113,1.047745462145882,student_t,3
114,0.8708495895855087,student_t,3
115,0.061185606022500116,student_t,3
116,-2.2201919214913883,student_t,3
117,-0.917179385649768,student_t,3
118,-0.43063279746265626,student_t,3
119,0.16059513980288015,student_t,3
120,0.5709809885391872,student_t,3
121,0.8431126750526898,student_t,3
122,1.9869833697106447,student_t,3
