timestamp,value,shock_indicator
0,-3.956558326293978,0
1,-1.0148126027340594,0
2,-1.117016666383172,0
3,-2.1863165333386725,0
4,-2.538107505304954,0
5,-4.112776626934549,1
6,1.647151357313219,1
7,1.3184893407878964,0
8,0.06590285699811305,0
9,1.5743561859244006,0
10,4.607307846281012,1
11,2.9519390996967902,0
12,2.4753750038530713,0
13,-4.675890352794708,1
14,-3.8503823775712887,0
15,-6.228451961090618,1
16,-8.001459314988328,1
17,-4.372357402110675,0
18,-6.537550287426759,1
19,-5.163232634654521,0
20,-0.7225220532123751,1
21,-1.4692204755869178,0
22,-0.4705560512290674,0
23,-0.6786865518006735,0
24,-0.010740011887352574,0
25,-0.5284858363815362,0
26,-0.6012972155392305,0
27,-2.6160900096940636,1
28,0.2837658889928256,1
29,-0.04229554629811544,0
30,-0.6076815394677167,0
31,-1.5299580990402097,0
32,-2.4477891493566837,0
33,-2.126162899189871,0
34,-2.071956030653965,0
35,0.139805259920738,0
36,1.7168828782775891,0
37,0.7193987594420989,0
38,0.8226532045022178,0
39,-0.42698721818720087,0
40,-0.19981967011886043,0
41,-1.1179062148831642,0
42,1.5169394583534213,1
43,0.8982478231531945,0
44,-0.1777877665757227,0
45,0.7510151711028764,0
46,-5.0320125999824565,1
47,-3.469448548588254,0
48,-10.76026547765372,1
49,-7.210926181709974,0
50,-5.0824226731837125,0
51,3.780987175032026,1
52,2.404701085592759,0
53,2.07309470962105,0
54,1.8707843315189154,0
55,1.7732636812611386,0
56,1.9803766204045585,0
57,6.905965967392632,1
58,6.077177345619266,0
59,3.386654126462444,0
60,2.6848540728206323,0
61,2.4507148526125624,0
62,-5.089796381423641,1
63,1.4425773405219795,1
64,1.3356353011354314,0
65,2.785079980370097,0
66,2.555634858250235,0
67,2.791823955263701,0
68,2.6608862287275583,0
69,1.4378947274228058,0
70,3.001152388875903,0
71,1.6820614684158772,0
72,9.804018100627449,1
73,6.693003298643286,0
74,4.8167961591476205,0
75,2.9455374644762307,0
76,1.8190542826963965,0
77,0.21730027266404295,0
78,0.35118178007175543,0
79,1.2151102735020503,0
80,-1.7609117285328035,1
81,-2.415687994082687,0
82,-0.4730676550491295,0
83,0.19088262595846445,0
84,0.9971900615529004,0
85,1.6832100941289228,0
86,1.7479339626430805,0
87,0.539140988937446,0
88,0.019431170916303142,0
89,4.905866580027987,1
90,2.574653199887894,0
91,0.4857008403582965,0
92,-2.4827922431858678,1
93,-2.6855316840746033,0
94,-1.9190173552441303,0
95,-1.4487852173395868,0
96,-2.9550658355605055,0
97,-1.463770315594006,0
98,-0.4046747042082428,0
