timestamp,value
2010-01-01,1017.1
2010-01-02,1019.3
2010-01-03,1017.0
2010-01-04,1019.2
2010-01-05,1018.7
2010-01-06,1015.6
2010-01-07,1018.5
2010-01-08,1018.3
2010-01-09,1018.4
2010-01-10,1021.5
2010-01-11,1023.0
2010-01-12,1023.3
2010-01-13,1020.5
2010-01-14,1021.4
2010-01-15,1018.1
2010-01-16,1022.6
2010-01-17,1022.6
2010-01-18,1021.0
2010-01-19,1020.1
2010-01-20,1017.0
2010-01-21,1019.3
2010-01-22,1017.3
2010-01-23,1016.1
2010-01-24,1017.8
2010-01-25,1019.3
2010-01-26,1025.1
2010-01-27,1024.8
2010-01-28,1025.1
2010-01-29,1025.1
2010-01-30,1022.6
2010-01-31,1021.2
2010-02-01,1017.2
2010-02-02,1041.5
2010-02-03,1041.7
2010-02-04,1038.9
2010-02-05,1041.0
2010-02-06,1042.9
2010-02-07,1042.1
2010-02-08,1043.9
2010-02-09,1039.0
2010-02-10,1037.3
2010-02-11,1033.7
2010-02-12,1032.5
2010-02-13,1036.3
2010-02-14,1037.5
2010-02-15,1040.0
2010-02-16,1038.4
2010-02-17,1035.3
2010-02-18,1032.0
2010-02-19,1028.1
2010-02-20,1032.2
2010-02-21,1030.2
2010-02-22,1031.2
2010-02-23,1032.8
2010-02-24,1030.3
2010-02-25,1030.2
2010-02-26,1028.1
2010-02-27,1022.1
2010-02-28,1024.4
2010-03-01,1023.4
2010-03-02,1026.3
2010-03-03,1024.0
2010-03-04,1026.1
2010-03-05,1031.0
2010-03-06,1037.6
2010-03-07,1036.6
2010-03-08,1037.4
2010-03-09,1035.4
2010-03-10,1038.9
2010-03-11,1038.7
2010-03-12,1036.5
2010-03-13,1036.4
2010-03-14,1036.8
2010-03-15,1035.3
2010-03-16,1032.6
2010-03-17,1029.3
2010-03-18,1031.3
2010-03-19,1027.4
2010-03-20,1028.6
2010-03-21,1025.8
2010-03-22,1026.0
2010-03-23,1022.3
2010-03-24,1020.1
2010-03-25,1017.7
2010-03-26,1018.0
2010-03-27,1023.2
2010-03-28,1024.2
2010-03-29,1020.5
2010-03-30,1022.2
2010-03-31,1025.3
2010-04-01,1023.3
2010-04-02,1035.3
2010-04-03,1036.7
2010-04-04,1035.1
2010-04-05,1032.5
2010-04-06,1028.7
2010-04-07,1028.1
2010-04-08,1025.6
2010-04-09,1027.9
2010-04-10,1025.0
2010-04-11,1025.7
2010-04-12,1025.0
2010-04-13,1023.7
2010-04-14,1025.5
2010-04-15,1025.8
2010-04-16,1030.5
2010-04-17,1035.1
2010-04-18,1034.2
2010-04-19,1032.2
2010-04-20,1033.6
2010-04-21,1045.6
2010-04-22,1040.3
2010-04-23,1035.9
2010-04-24,1035.4
2010-04-25,1031.0
2010-04-26,1035.1
2010-04-27,1022.1
2010-04-28,1020.4
2010-04-29,1019.6
2010-04-30,1023.2
2010-05-01,1016.5
2010-05-02,1011.6
2010-05-03,1013.9
2010-05-04,1011.3
2010-05-05,1020.9
2010-05-06,1023.4
2010-05-07,1019.6
2010-05-08,1016.7
2010-05-09,1012.0
2010-05-10,1012.7
2010-05-11,1010.7
2010-05-12,1002.5
2010-05-13,991.5
2010-05-14,992.9
2010-05-15,997.1
2010-05-16,1001.6
2010-05-17,997.2
2010-05-18,1001.9
2010-05-19,1011.7
2010-05-20,1005.7
2010-05-21,1018.7
2010-05-22,1016.5
2010-05-23,1018.3
2010-05-24,1014.8
2010-05-25,1011.0
2010-05-26,1018.7
2010-05-27,1009.9
2010-05-28,1012.7
2010-05-29,1015.0
2010-05-30,1010.4
2010-05-31,1099.0
2010-06-01,1095.2
2010-06-02,1098.1
2010-06-03,1094.8
2010-06-04,1097.9
2010-06-05,1085.2
2010-06-06,1086.0
2010-06-07,1088.2
2010-06-08,1088.6
2010-06-09,1085.8
2010-06-10,1080.4
2010-06-11,1077.2
2010-06-12,1075.7
2010-06-13,1080.3
2010-06-14,1081.6
2010-06-15,1080.3
2010-06-16,1094.8
2010-06-17,1097.2
2010-06-18,1096.2
2010-06-19,1095.4
2010-06-20,1093.0
2010-06-21,1084.3
2010-06-22,1079.6
2010-06-23,1080.8
2010-06-24,1083.2
2010-06-25,1086.6
2010-06-26,1078.6
2010-06-27,1078.3
2010-06-28,1077.1
2010-06-29,1080.3
2010-06-30,1082.6
2010-07-01,1079.7
2010-07-02,1083.5
2010-07-03,1080.0
2010-07-04,1079.4
2010-07-05,1079.4
2010-07-06,1082.1
2010-07-07,1080.8
2010-07-08,1077.5
2010-07-09,1079.7
2010-07-10,1078.8
2010-07-11,1083.1
2010-07-12,1079.7
2010-07-13,1078.1
2010-07-14,1077.3
2010-07-15,1075.5
2010-07-16,1080.2
2010-07-17,1090.3
2010-07-18,1089.6
2010-07-19,1087.8
2010-07-20,1081.1
2010-07-21,1071.7
2010-07-22,1071.4
2010-07-23,1069.8
2010-07-24,1070.5
2010-07-25,1066.4
2010-07-26,1070.9
2010-07-27,1065.5
2010-07-28,1068.6
2010-07-29,1067.1
2010-07-30,1068.3
2010-07-31,1074.9
2010-08-01,1069.2
2010-08-02,1068.6
2010-08-03,1076.2
2010-08-04,1080.7
2010-08-05,1077.7
2010-08-06,1077.6
2010-08-07,1083.7
2010-08-08,1084.4
2010-08-09,1084.4
2010-08-10,1091.4
2010-08-11,1090.4
2010-08-12,1096.5
2010-08-13,1095.0
2010-08-14,1096.9
2010-08-15,1099.8
2010-08-16,1096.1
2010-08-17,1094.3
2010-08-18,1098.9
2010-08-19,1099.0
2010-08-20,1101.5
2010-08-21,1111.4
2010-08-22,1114.1
2010-08-23,1112.8
2010-08-24,1116.4
2010-08-25,1117.3
2010-08-26,1115.0
2010-08-27,1113.1
2010-08-28,1114.6
2010-08-29,1118.2
2010-08-30,1117.8
2010-08-31,1116.3
2010-09-01,1116.0
2010-09-02,1115.9
2010-09-03,1114.9
2010-09-04,1117.5
2010-09-05,1116.3
2010-09-06,1115.7
2010-09-07,1119.4
2010-09-08,1118.6
2010-09-09,1119.8
2010-09-10,1120.1
2010-09-11,1111.6
2010-09-12,1106.9
2010-09-13,1107.5
2010-09-14,1125.3
2010-09-15,1126.1
2010-09-16,1124.2
2010-09-17,1122.1
2010-09-18,1126.7
2010-09-19,1118.5
2010-09-20,1118.5
2010-09-21,1119.9
2010-09-22,1116.0
2010-09-23,1117.5
2010-09-24,1115.3
2010-09-25,1114.5
2010-09-26,1117.7
2010-09-27,1109.1
2010-09-28,1107.7
2010-09-29,1106.6
2010-09-30,1104.6
2010-10-01,1109.9
2010-10-02,1108.7
2010-10-03,1108.7
2010-10-04,1106.4
2010-10-05,1113.9
2010-10-06,1112.2
2010-10-07,1112.3
2010-10-08,1117.7
2010-10-09,1118.5
2010-10-10,1119.5
2010-10-11,1117.4
2010-10-12,1117.0
2010-10-13,1112.5
2010-10-14,1136.2
2010-10-15,1130.8
2010-10-16,1127.2
2010-10-17,1118.5
2010-10-18,1115.2
2010-10-19,1116.5
2010-10-20,1119.2
2010-10-21,1116.8
2010-10-22,1115.8
2010-10-23,1114.7
2010-10-24,1117.4
2010-10-25,1116.6
2010-10-26,1115.4
2010-10-27,1109.5
2010-10-28,1088.6
2010-10-29,1090.0
2010-10-30,1078.4
2010-10-31,1091.6
2010-11-01,1096.3
2010-11-02,1200.3
2010-11-03,1199.6
2010-11-04,1192.8
2010-11-05,1192.7
2010-11-06,1203.9
2010-11-07,1199.6
2010-11-08,1209.2
2010-11-09,1206.0
2010-11-10,1206.7
2010-11-11,1210.7
2010-11-12,1204.0
2010-11-13,1193.6
2010-11-14,1196.5
2010-11-15,1197.2
2010-11-16,1194.3
2010-11-17,1197.5
2010-11-18,1192.2
2010-11-19,1194.7
2010-11-20,1192.8
2010-11-21,1203.0
2010-11-22,1213.6
2010-11-23,1209.6
2010-11-24,1209.5
2010-11-25,1205.2
2010-11-26,1193.8
2010-11-27,1192.6
2010-11-28,1203.4
2010-11-29,1210.5
2010-11-30,1199.9
2010-12-01,1203.4
2010-12-02,1211.7
2010-12-03,1206.0
2010-12-04,1211.0
2010-12-05,1214.9
2010-12-06,1211.0
2010-12-07,1213.5
2010-12-08,1214.0
2010-12-09,1209.9
2010-12-10,1212.8
2010-12-11,1216.0
2010-12-12,1232.4
2010-12-13,1255.6
2010-12-14,1253.1
2010-12-15,1256.1
2010-12-16,1251.4
2010-12-17,1259.9
2010-12-18,1258.5
2010-12-19,1262.5
2010-12-20,1261.7
2010-12-21,1269.9
2010-12-22,1259.5
2010-12-23,1233.2
2010-12-24,1234.4
2010-12-25,1236.9
2010-12-26,1235.2
2010-12-27,1262.2
2010-12-28,1249.4
2010-12-29,1252.1
2010-12-30,1251.8
2010-12-31,1258.4
2011-01-01,1252.2
2011-01-02,1252.9
2011-01-03,1250.1
2011-01-04,1257.1
2011-01-05,1258.0
2011-01-06,1257.4
2011-01-07,1254.7
2011-01-08,1253.7
2011-01-09,1253.4
2011-01-10,1249.9
2011-01-11,1256.3
2011-01-12,1253.7
2011-01-13,1255.1
2011-01-14,1258.8
2011-01-15,1264.8
2011-01-16,1258.4
2011-01-17,1256.6
2011-01-18,1255.6
2011-01-19,1258.3
2011-01-20,1258.6
2011-01-21,1260.3
2011-01-22,1264.9
2011-01-23,1266.7
2011-01-24,1270.2
2011-01-25,1272.6
2011-01-26,1263.7
2011-01-27,1267.3
2011-01-28,1265.8
2011-01-29,1262.6
2011-01-30,1261.6
2011-01-31,1265.6
2011-02-01,1263.9
